id,title,type,description,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,tmdb_popularity,tmdb_score
tm191374,I Know What You Did Last Summer,MOVIE,"After four high school friends are involved in a hit-and-run road accident, they dispose of the body and vow to keep the incident a secret. A year later, they each start receiving anonymous letters bearing the warning ""I Know What You Did Last Summer.""",1997,R,101,"['horror', 'thriller']",['US'],,tt0125208,5.7,142696.0,15.885,5.933
ts9,The Walking Dead,SHOW,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010,TV-MA,46,"['action', 'drama', 'horror', 'thriller']",['US'],11.0,tt1520211,8.1,1013253.0,656.772,8.116
ts21465,Supernatural,SHOW,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",2005,TV-14,45,"['drama', 'scifi', 'thriller', 'fantasy', 'horror']",['US'],15.0,tt0460681,8.4,453184.0,572.356,8.303
ts34569,Mononoke,SHOW,"The Medicine Seller is a deadly and mysterious master of the occult who travels across feudal Japan in search of malevolent spirits called mononoke to slay. When he locates one of these spirits, he cannot simply kill it; he must first learn its Form, its Truth, and its Reason in order to wield the mighty Exorcism Sword and fight against it. He must begin his strange exorcisms with intense psychological analysis and careful investigative work—an extremely dangerous step, as he must first confront and learn about the mononoke before he even has the means to defeat it.",2007,TV-MA,22,"['animation', 'thriller', 'scifi', 'horror', 'fantasy']",['JP'],1.0,tt1992935,8.3,2437.0,12.401,7.9
tm74402,The Mist,MOVIE,"After a violent storm, a dense cloud of mist envelops a small Maine town, trapping artist David Drayton and his five-year-old son in a local grocery store with other people. They soon discover that the mist conceals deadly horrors that threaten their lives, and worse, their sanity.",2007,R,126,"['thriller', 'horror', 'scifi']",['US'],,tt0884328,7.1,317831.0,29.464,6.884
tm109300,Resident Evil,MOVIE,"When a virus leaks from a top-secret facility, turning all resident researchers into ravenous zombies and their lab animals into mutated hounds from hell, the government sends in an elite military task force to contain the outbreak. Alice and Rain are charged with leading the mission. But they only have three hours before the pathogen becomes airborne and infects the world.",2002,R,100,"['horror', 'action', 'scifi', 'european']","['FR', 'DE', 'GB', 'CA']",,tt0120804,6.6,275939.0,22.082,6.601
tm94422,Resident Evil: Apocalypse,MOVIE,"As the city is locked down under quarantine, Alice finds out that the people that died from the previous incident at the Umbrella Corporation have turned into zombies. She then joins a small band of elite soldiers, who are enlisted to rescue the missing daughter of the creator of the mutating T-virus.  Once lack of luck and resources happen, they begin to wage an exhilarating battle to survive and escape before the Umbrella Corporation erases its experiment from the face of the earth.",2004,R,94,"['action', 'scifi', 'horror', 'thriller', 'european']","['GB', 'US', 'CA']",,tt0318627,6.1,202887.0,20.554,6.34
tm96208,Resident Evil: Afterlife,MOVIE,"In a world ravaged by a virus infection, turning its victims into the Undead, Alice continues on her journey to find survivors and lead them to safety. Her deadly battle with the Umbrella Corporation reaches new heights, but Alice gets some unexpected help from an old friend. A new lead that promises a safe haven from the Undead takes them to Los Angeles, but when they arrive the city is overrun by thousands of Undead - and Alice and her comrades are about to step into a deadly trap.",2010,R,97,"['action', 'horror', 'scifi', 'european', 'drama', 'fantasy', 'thriller']","['US', 'CA', 'DE']",,tt1220634,5.8,174100.0,1.634,6.042
ts21740,Black Butler,SHOW,"In Victorian-era London, on the night of Ciel Phantomhive's tenth birthday a fire destroyed his manor and killed both of his parents. In a moment of death Ceil strikes a deal with a demon, his soul in exchange for revenge. This demon becomes his butler and calls himself by name of Sebastian Michaelis, to protect and serve Ciel until the deal has been completed. One month after the fire Ciel returns from being missing, with his new butler Sebastian. Ceil is now the head of the Phantomhive corporation, handling all business affairs as well as the work as the Queen of England’s guard dog and looking for his parents murders.",2008,TV-MA,25,"['animation', 'comedy', 'drama', 'thriller', 'scifi', 'fantasy', 'crime', 'action', 'horror']",['JP'],3.0,tt1316554,8.2,1997.0,40.591,7.5
ts178360,El cartel 2 - La guerra total,SHOW,Now Pepe Cadena finishes telling the story in which the most powerful drug traffickers in Colombia are strengthened but later fall while he and others dedicate themselves to the dangerous task of exposing them to collaborate with justice.,2010,TV-MA,44,"['thriller', 'war', 'action', 'crime', 'horror']",['CO'],1.0,tt1667724,6.7,243.0,,
tm95238,The Boy Who Cried Werewolf,MOVIE,"A Californian family inherits a castle in Romania. This is especially exciting to the son, who is obsessed with monsters. And he is not disappointed.",2010,G,97,"['fantasy', 'comedy', 'family', 'horror']","['US', 'CA']",,tt1451423,5.9,3526.0,21.046,6.47
tm237621,The Figurine: Araromire,MOVIE,"Two buddies and a girl, down on their luck, have their lives changed when one of them discovers a mysterious figurine in an abandoned shrine which, according to legend, bestows seven years of good luck. But no one told them about the next seven years...",2009,PG-13,122,"['drama', 'horror', 'thriller']",['NG'],,tt1542960,4.4,266.0,3.249,4.0
